area,codigo_programa,ies,nome_programa,inicio_mestrado,inicio_doutorado,conceito_atual,conceito_recomendado,conceito_ctc,conceito_rec,q2_q5,itens_q2_q5,itens_q3_q4,docentes_ano_2001_2003,docentes_ano_2004_2006,docentes_ano_2001_2006,Teses_2001_2003,Diss_2001_2003,Teses_2004_2006,Diss_2004_2006,Teses_2001_2006,Diss_2001_2006,di_te_2001_2003,di_te_2004_2006,di_te_2001_2006,egressos_mestrado_97_01,egr_m_tit_dou_97_01,n_esp_dout_97_01,escore_1,egressos_dout_97_03,egressos_doc_ppg_97_03,n_esp_doc_ppg_97_03,Escore_2,doc_ies_dif,perc_doc_dif_doc_ppg,bolsistas_prod,docentes,perc_bols_doc,Escore_3,DataHoraRegistro
13,42001013046P9,UFRGS,ENGENHARIA MECÃ‚NICA,1986.0,1986.0,5,5,4.0,4.0,4.45,4.2875,4.307692308,56,92,148,23,44,22,45,45.0,89.0,1.913043478,2.045454545,1.977777778,69.0,12.0,16.538,42.19159379,54.0,20.0,15.903,63.94075932,14.0,70.0,7.0,21.0,33.33333333,60.62161377,2023-11-29 15:41:58.762555
13,33002010052P0,USP,ENGENHARIA (ENGENHARIA DE PRODUÃ‡ÃƒO),1971.0,1972.0,5,5,4.0,5.0,4.4,4.15,4.207692308,66,96,162,41,46,44,44,85.0,90.0,1.12195122,1.0,1.058823529,93.0,10.0,22.229,31.57901899,97.0,30.0,30.938,51.17897924,21.0,70.0,9.0,32.0,28.125,51.0080001,2023-11-29 15:41:58.762555
13,40001016040P5,UFPR,ENGENHARIA MECÃ‚NICA,2000.0,2006.0,4,5,5.0,,4.45,4.485,4.515384615,38,60,98,0,16,0,55,0.0,71.0,,,,,,,,,,,,,0.0,6.0,17.0,35.29411765,56.32406982,2023-11-29 15:41:58.762555
13,33002045018P2,USP/SC,ENGENHARIA DE PRODUÃ‡ÃƒO,1996.0,2002.0,4,5,5.0,,4.4,4.4075,4.415384615,36,56,92,0,58,2,88,2.0,146.0,,44.0,73.0,89.0,12.0,20.112,37.53965647,,,,,,0.0,6.0,17.0,35.29411765,65.61589733,2023-11-29 15:41:58.762555
13,33010013009P6,INPE,ENGENHARIA E TECNOLOGIA ESPACIAIS,1994.0,1994.0,4,5,5.0,,4.6,4.44,4.307692308,68,135,203,2,10,21,41,23.0,51.0,5.0,1.952380952,2.217391304,34.0,8.0,8.688,48.50659966,18.0,5.0,6.571,40.68526829,1.0,20.0,19.0,46.0,41.30434783,65.50371023,2023-11-29 15:41:58.762555
13,31001017032P7,UFRJ,ENGENHARIA OCEÃ‚NICA,1967.0,1989.0,4,5,4.0,5.0,4.7,4.37,4.223076923,67,58,125,18,47,14,74,32.0,121.0,2.611111111,5.285714286,3.78125,84.0,6.0,21.349,23.34098771,36.0,4.0,11.898,13.3827199,3.0,75.0,12.0,18.0,66.66666667,81.55648727,2023-11-29 15:41:58.762555
13,33002010046P0,USP,ENGENHARIA MECÃ‚NICA,1971.0,1978.0,5,4,4.0,5.0,4.35,4.245,4.115384615,72,203,275,29,60,44,126,73.0,186.0,2.068965517,2.863636364,2.547945205,91.0,22.0,23.124,49.43275359,75.0,25.0,24.814,52.95413568,14.0,56.0,19.0,46.0,41.30434783,63.41492795,2023-11-29 15:41:58.762555
13,33001014013P8,UFSCAR,ENGENHARIA DE PRODUÃ‡ÃƒO,1992.0,1999.0,4,4,4.0,4.0,4.4,4.4375,4.469230769,75,101,176,5,72,39,94,44.0,166.0,14.4,2.41025641,3.772727273,105.0,28.0,24.193,55.31687324,6.0,1.0,0.99,,1.0,100.0,9.0,30.0,30.0,54.92271594,2023-11-29 15:41:58.762555
13,53001010053P0,UNB,CIÃŠNCIAS MECÃ‚NICAS,2002.0,2005.0,4,4,4.0,,3.9,3.9525,4.176923077,11,53,64,0,5,0,38,0.0,43.0,,,,,,,,,,,,,0.0,4.0,11.0,36.36363636,61.09888304,2023-11-29 15:41:58.762555
13,23001011009P2,UFRN,ENGENHARIA MECÃ‚NICA,1983.0,2006.0,4,4,4.0,,4.35,3.95,4.076923077,38,70,108,0,22,0,36,0.0,58.0,,,,52.0,14.0,14.721,49.42163386,,,,,,0.0,4.0,23.0,17.39130435,37.69972028,2023-11-29 15:41:58.762555
