conceito_atual,conceito_ctc,conceito_rec,q2_q5,itens_q2_q5,itens_q3_q4,docentes_ano_2001_2003,docentes_ano_2004_2006,docentes_ano_2001_2006,Teses_2001_2003,Diss_2001_2003,Teses_2004_2006,Diss_2004_2006,Teses_2001_2006,Diss_2001_2006,di_te_2001_2003,di_te_2004_2006,di_te_2001_2006,egressos_mestrado_97_01,egr_m_tit_dou_97_01,n_esp_dout_97_01,escore_1,egressos_dout_97_03,egressos_doc_ppg_97_03,n_esp_doc_ppg_97_03,Escore_2,doc_ies_dif,perc_doc_dif_doc_ppg,bolsistas_prod,docentes,perc_bols_doc,Escore_3,sigla_IES,id_instituicao
7,7.0,7.0,5.0,5.0,5.0,75,95,170,22,37,44,45,66.0,82.0,1.681818182,1.022727273,1.242424242,50.0,25.0,11.807,77.54462047,46.0,16.0,14.25,58.17078657,3.0,18.75,20.0,29.0,68.96551724,56.84397149,,
7,7.0,,5.0,5.0,5.0,57,67,124,25,33,33,27,58.0,60.0,1.32,0.818181818,1.034482759,38.0,33.0,9.499,100.0,49.0,15.0,15.449,51.23845914,10.0,66.66666667,19.0,21.0,90.47619048,79.68934092,,
7,7.0,,5.0,4.945,4.953846154,77,118,195,36,57,65,48,101.0,105.0,1.583333333,0.738461538,1.03960396,91.0,55.0,22.143,84.62928221,85.0,27.0,27.502,51.74908061,26.0,96.2962963,28.0,36.0,77.77777778,69.93432836,,
7,7.0,,5.0,4.7125,4.673076923,153,227,380,61,51,69,77,130.0,128.0,0.836065574,1.115942029,0.984615385,136.0,74.0,36.254,75.99554494,181.0,55.0,60.298,48.40980396,36.0,65.45454546,41.0,50.0,82.0,70.62535249,,
7,7.0,,4.7,4.536875,4.456730769,110,191,301,45,72,75,75,120.0,147.0,1.6,1.0,1.225,98.0,66.0,23.415,90.65768547,105.0,39.0,34.769,58.12152312,18.0,46.15384615,33.0,42.0,78.57142857,65.86265241,,
7,6.0,6.0,4.65,4.4,4.215384615,84,162,246,14,41,26,54,40.0,95.0,2.928571429,2.076923077,2.375,38.0,8.0,8.097,50.52261513,20.0,2.0,5.082,17.8178361,1.0,50.0,14.0,37.0,37.83783784,34.92394429,,
6,6.0,,5.0,5.0,5.0,52,78,130,20,27,26,30,46.0,57.0,1.35,1.153846154,1.239130435,37.0,23.0,8.776,87.14075651,46.0,20.0,14.992,67.07439647,8.0,40.0,16.0,25.0,64.0,55.09280704,,
6,6.0,6.0,5.0,4.94,5.0,91,121,212,27,43,67,39,94.0,82.0,1.592592593,0.582089552,0.872340426,71.0,36.0,14.525,84.52940343,74.0,20.0,21.252,49.81359345,15.0,75.0,22.0,29.0,75.86206897,61.37295388,,
6,6.0,6.0,5.0,4.94,4.907692308,62,79,141,27,36,42,19,69.0,55.0,1.333333333,0.452380952,0.797101449,50.0,33.0,11.092,93.35047015,76.0,11.0,24.066,22.36770698,8.0,72.72727273,16.0,18.0,88.88888889,73.57291312,,
6,6.0,,5.0,4.8775,4.811538462,55,74,129,24,33,32,58,56.0,91.0,1.375,1.8125,1.625,57.0,32.0,14.427,79.54822511,52.0,22.0,14.851,72.87228401,7.0,31.81818182,17.0,22.0,77.27272727,62.54550566,,
6,6.0,,5.0,4.8575,4.811538462,36,71,107,11,16,38,25,49.0,41.0,1.454545455,0.657894737,0.836734694,46.0,27.0,10.483,86.31940687,47.0,7.0,14.429,24.27583838,4.0,57.14285714,9.0,15.0,60.0,57.86807501,,
6,6.0,,5.0,4.626875,4.672115385,23,33,56,16,17,23,23,39.0,40.0,1.0625,1.0,1.025641026,39.0,26.0,9.958,86.96289911,20.0,9.0,4.861,,5.0,55.55555556,8.0,10.0,80.0,69.7296196,,
6,6.0,,4.7,4.76,4.630769231,46,82,128,7,25,28,41,35.0,66.0,3.571428571,1.464285714,1.885714286,13.0,8.0,2.202,,11.0,2.0,2.386,,1.0,50.0,14.0,22.0,63.63636364,62.12564553,,
5,6.0,,5.0,4.972222222,5.0,189,248,437,35,70,50,72,85.0,142.0,2.0,1.44,1.670588235,136.0,41.0,33.574,57.03178149,119.0,41.0,39.803,53.99814615,17.0,41.46341463,40.0,43.0,93.02325581,74.58098248,,
6,5.0,5.0,4.65,4.5725,4.811538462,17,39,56,1,13,15,18,16.0,31.0,13.0,1.2,1.9375,,,,,1.0,0.0,0.165,,0.0,,14.0,15.0,93.33333333,81.97725054,,
6,5.0,5.0,4.65,4.506666667,4.41025641,49,63,112,20,31,16,41,36.0,72.0,1.55,2.5625,2.0,63.0,32.0,14.837,78.33394664,45.0,10.0,14.464,36.87495304,8.0,80.0,13.0,21.0,61.90476191,57.05907726,,
5,5.0,5.0,4.9,4.86,4.953846154,41,58,99,11,13,10,37,21.0,50.0,1.181818182,3.7,2.380952381,24.0,7.0,5.954,55.81387716,23.0,7.0,6.8,53.96772815,5.0,71.42857143,9.0,16.0,56.25,49.55306372,,
5,5.0,5.0,4.8,4.67,4.815384615,42,83,125,0,34,13,46,13.0,80.0,,3.538461538,6.153846154,33.0,8.0,7.286,53.67882897,,,,,,,8.0,22.0,36.36363636,32.30296883,,
5,5.0,5.0,4.6,4.765,4.769230769,38,56,94,19,22,20,17,39.0,39.0,1.157894737,0.85,1.0,35.0,17.0,7.403,81.07533364,39.0,7.0,11.88,30.91224944,5.0,71.42857143,10.0,14.0,71.42857143,59.29346616,,
5,5.0,,5.0,4.711875,4.764423077,31,50,81,0,29,10,48,10.0,77.0,,4.8,7.7,13.0,3.0,1.961,,,,,,,,8.0,14.0,57.14285714,46.64179861,,
5,5.0,5.0,4.55,4.5725,4.611538462,24,54,78,5,35,21,50,26.0,85.0,7.0,2.380952381,3.269230769,120.0,41.0,28.448,62.6244452,7.0,1.0,1.524,,1.0,100.0,8.0,12.0,66.66666667,65.34099459,,
5,5.0,5.0,5.0,4.719166667,4.606410256,49,75,124,14,20,34,17,48.0,37.0,1.428571429,0.5,0.770833333,41.0,23.0,10.524,78.90485107,41.0,12.0,13.29,47.95897545,10.0,83.33333333,14.0,19.0,73.68421053,58.31929117,,
5,5.0,,4.65,4.465,4.6,38,55,93,0,20,8,29,8.0,49.0,,3.625,6.125,19.0,8.0,3.262,,,,,,,,7.0,11.0,63.63636364,58.88260982,,
5,4.0,5.0,4.65,4.375,4.215384615,31,51,82,15,15,13,23,28.0,38.0,1.0,1.769230769,1.357142857,25.0,11.0,6.265,69.92297758,19.0,2.0,4.273,,0.0,0.0,5.0,16.0,31.25,25.85729734,,
5,4.0,5.0,4.65,4.285,4.123076923,37,77,114,10,22,23,39,33.0,61.0,2.2,1.695652174,1.848484848,46.0,23.0,11.378,75.59036803,43.0,16.0,14.624,56.89778706,9.0,56.25,8.0,16.0,50.0,48.83824103,,
4,5.0,,5.0,4.98,5.0,37,51,88,32,32,37,32,69.0,64.0,1.0,0.864864865,0.927536232,58.0,32.0,14.662,78.84600368,52.0,10.0,14.116,37.82585924,5.0,50.0,10.0,14.0,71.42857143,57.53624193,,
4,5.0,,5.0,4.7825,4.765384615,39,69,108,0,22,6,50,6.0,72.0,,8.333333333,12.0,45.0,13.0,10.917,56.22122794,,,,,,,11.0,18.0,61.11111111,51.11212906,,
5,4.0,4.0,4.35,4.38,4.4,52,70,122,9,21,21,26,30.0,47.0,2.333333333,1.238095238,1.566666667,16.0,14.0,4.858,,19.0,5.0,5.876,45.36619474,3.0,60.0,16.0,21.0,76.19047619,61.00213497,,
5,4.0,4.0,4.1,4.16,4.0,68,65,133,18,11,14,8,32.0,19.0,0.611111111,0.571428571,0.59375,33.0,19.0,8.635,79.19899756,43.0,8.0,14.919,27.61397954,6.0,75.0,9.0,18.0,50.0,50.49328096,,
5,4.0,4.0,4.25,4.071875,3.856730769,26,61,87,13,19,23,32,36.0,51.0,1.461538462,1.391304348,1.416666667,34.0,17.0,8.486,75.21559028,17.0,5.0,4.384,,3.0,60.0,13.0,21.0,61.90476191,58.0097449,,
4,4.0,4.0,4.55,4.27,4.753846154,29,30,59,0,12,8,24,8.0,36.0,,3.0,4.5,22.0,8.0,4.731,,,,,,,,6.0,10.0,60.0,54.98886182,,
4,4.0,,4.55,4.416666667,4.733333333,28,42,70,0,11,0,25,0.0,36.0,,,,2.0,0.0,0.214,,,,,,,,3.0,11.0,27.27272727,17.77732051,,
4,4.0,4.0,4.2,4.314166667,4.598717949,23,37,60,0,21,0,28,0.0,49.0,,,,37.0,17.0,8.965,72.96942988,,,,,,,4.0,12.0,33.33333333,26.73841586,,
4,4.0,,4.35,4.475,4.538461538,0,17,17,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,
4,4.0,,4.25,4.611875,4.533653846,35,53,88,0,25,0,38,0.0,63.0,,,,48.0,7.0,11.686,37.62865645,,,,,,,10.0,15.0,66.66666667,45.84121072,,
4,4.0,,4.55,4.43,4.323076923,43,57,100,13,19,16,14,29.0,33.0,1.461538462,0.875,1.137931034,43.0,20.0,11.944,68.10385663,40.0,8.0,13.178,31.98929577,5.0,62.5,11.0,15.0,73.33333333,67.07669765,,
4,4.0,4.0,4.0,4.1775,4.226923077,27,40,67,7,34,14,36,21.0,70.0,4.857142857,2.571428571,3.333333333,45.0,13.0,9.107,62.28799238,28.0,5.0,8.499,30.85622284,4.0,80.0,5.0,9.0,55.55555556,44.62002415,,
4,4.0,,4.35,4.2825,3.996153846,0,79,79,0,0,3,36,3.0,36.0,,12.0,12.0,,,,,,,,,,,6.0,22.0,27.27272727,18.22562017,,
4,4.0,,3.65,3.903541667,3.902884615,26,50,76,0,19,0,21,0.0,40.0,,,,8.0,3.0,1.426,,,,,,,,4.0,13.0,30.76923077,21.19671087,,
4,4.0,,3.9,3.725,3.743589744,63,83,146,15,37,29,44,44.0,81.0,2.466666667,1.517241379,1.840909091,56.0,21.0,13.321,65.85092373,36.0,9.0,10.849,44.27912064,4.0,44.44444444,9.0,26.0,34.61538462,32.7532707,,
4,4.0,4.0,4.35,3.958125,3.5125,28,34,62,0,14,0,39,0.0,53.0,,,,1.0,0.0,0.107,,,,,,,,4.0,10.0,40.0,29.46811332,,
3,4.0,,3.45,3.753125,3.466346154,20,38,58,0,23,0,27,0.0,50.0,,,,20.0,6.0,3.646,,,,,,,,2.0,10.0,20.0,4.453374085,,
3,4.0,,3.65,3.5875,3.388461538,39,58,97,10,22,24,13,34.0,35.0,2.2,0.541666667,1.029411765,48.0,27.0,10.988,84.13289548,24.0,1.0,5.065,0.735711773,1.0,100.0,5.0,14.0,35.71428571,21.50198955,,
4,3.0,3.0,3.35,3.525,3.338461538,112,140,252,14,54,27,72,41.0,126.0,3.857142857,2.666666667,3.073170732,75.0,30.0,17.996,67.93512392,24.0,11.0,6.199,83.60482976,2.0,18.18181818,18.0,38.0,47.36842105,36.76569905,,
4,3.0,,3.35,3.175,2.723076923,45,57,102,10,43,27,59,37.0,102.0,4.3,2.185185185,2.756756757,36.0,18.0,8.003,80.15779887,23.0,7.0,6.48,56.27804243,1.0,14.28571429,7.0,13.0,53.84615385,40.35962606,,
3,3.0,3.0,3.3,3.521666667,3.333333333,35,47,82,0,6,0,24,0.0,30.0,,,,,,,,,,,,,,4.0,17.0,23.52941177,15.33742874,,
3,3.0,,3.05,3.3225,2.873076923,27,57,84,0,15,0,43,0.0,58.0,,,,9.0,0.0,1.533,,,,,,,,6.0,14.0,42.85714286,36.95071159,,
3,3.0,4.0,2.65,2.76,2.553846154,35,48,83,0,42,0,33,0.0,75.0,,,,54.0,14.0,12.392,54.56069452,,,,,,,2.0,11.0,18.18181818,13.06672456,,
7,7.0,,5.0,4.865,4.907692308,55,65,120,18,31,25,41,43.0,72.0,1.722222222,1.64,1.674418605,45.0,30.0,10.644,90.65390418,38.0,17.0,11.972,70.49278341,9.0,52.94117647,14.0,20.0,70.0,68.8519126,,
7,7.0,,5.0,4.7175,4.757692308,61,104,165,27,21,34,31,61.0,52.0,0.777777778,0.911764706,0.852459016,61.0,32.0,15.317,76.97477496,76.0,21.0,24.457,45.75646767,13.0,61.90476191,19.0,24.0,79.16666667,74.1811937,,
7,6.0,7.0,4.9,4.755,4.815384615,67,76,143,25,26,44,18,69.0,44.0,1.04,0.409090909,0.637681159,39.0,17.0,9.96,68.83275204,58.0,15.0,18.815,42.60577704,14.0,93.33333333,18.0,24.0,75.0,77.90662819,,
6,6.0,,4.65,4.4625,4.665384615,58,67,125,26,58,39,61,65.0,119.0,2.230769231,1.564102564,1.830769231,84.0,43.0,21.018,76.09211011,45.0,11.0,12.606,46.45630014,10.0,90.90909091,17.0,23.0,73.91304348,71.42188224,,
6,6.0,,4.9,4.6125,4.573076923,73,96,169,16,20,39,21,55.0,41.0,1.25,0.538461538,0.745454545,49.0,24.0,12.374,73.88526354,48.0,17.0,15.415,57.28655573,15.0,88.23529412,17.0,28.0,60.71428571,61.8724961,,
5,6.0,,5.0,4.7675,4.757692308,161,215,376,34,35,34,45,68.0,80.0,1.029411765,1.323529412,1.176470588,99.0,31.0,24.557,58.11472524,122.0,28.0,38.174,39.20383691,11.0,39.28571429,38.0,57.0,66.66666667,65.10989094,,
5,6.0,,5.0,4.7225,4.619230769,127,156,283,42,45,55,52,97.0,97.0,1.071428571,0.945454545,1.0,89.0,37.0,22.875,66.80219315,110.0,34.0,34.097,52.47206684,27.0,79.41176471,38.0,43.0,88.37209302,76.69870148,,
5,5.0,5.0,4.45,4.3825,4.434615385,80,103,183,27,59,40,47,67.0,106.0,2.185185185,1.175,1.582089552,116.0,30.0,29.186,51.68622317,106.0,40.0,36.385,57.13231135,33.0,82.5,19.0,34.0,55.88235294,57.87565741,,
5,5.0,5.0,4.65,4.49,4.330769231,61,69,130,22,18,15,28,37.0,46.0,0.818181818,1.866666667,1.243243243,27.0,10.0,7.149,61.58118819,55.0,21.0,17.584,61.26984114,17.0,80.95238095,12.0,22.0,54.54545455,57.01595849,,
4,4.0,5.0,4.65,4.295833333,4.134615385,0,60,60,0,0,4,38,4.0,38.0,,9.5,9.5,,,,,,,,,,,7.0,20.0,35.0,37.90558867,,
4,4.0,,4.4,4.385,4.415384615,43,44,87,3,27,12,31,15.0,58.0,9.0,2.583333333,3.866666667,35.0,17.0,8.175,76.77850234,3.0,0.0,0.495,,0.0,,5.0,13.0,38.46153846,39.39713911,,
4,4.0,,3.65,4.0275,3.896153846,35,52,87,0,22,5,36,5.0,58.0,,7.2,11.6,31.0,8.0,7.05,54.69811313,,,,,,,5.0,17.0,29.41176471,32.4447082,,
4,4.0,,3.55,3.76,3.653846154,47,65,112,11,20,22,29,33.0,49.0,1.818181818,1.318181818,1.484848485,20.0,7.0,4.772,,22.0,6.0,6.508,48.88772783,6.0,100.0,9.0,20.0,45.0,47.91555132,,
4,4.0,,3.7,3.584166667,3.296153846,0,13,13,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,
4,4.0,,3.5,3.48,3.007692308,0,17,17,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,
3,4.0,4.0,4.45,4.4825,4.473076923,44,90,134,0,15,23,35,23.0,50.0,,1.52173913,2.173913043,27.0,8.0,5.896,60.53416377,4.0,3.0,0.954,,0.0,0.0,10.0,25.0,40.0,42.7418454,,
3,4.0,,4.0,4.03,4.146153846,17,56,73,0,0,0,32,0.0,32.0,,,,,,,,,,,,,,6.0,16.0,37.5,46.50571859,,
3,4.0,,3.65,3.8225,3.75,0,35,35,0,0,0,7,0.0,7.0,,,,,,,,,,,,,,2.0,10.0,20.0,21.2848746,,
3,4.0,,3.75,3.7575,3.365384615,31,45,76,5,17,22,17,27.0,34.0,3.4,0.772727273,1.259259259,23.0,10.0,6.204,66.67253813,15.0,1.0,4.431,,1.0,100.0,3.0,12.0,25.0,23.3069745,,
3,4.0,,3.65,3.5575,3.219230769,10,35,45,0,0,0,8,0.0,8.0,,,,,,,,,,,,,,4.0,10.0,40.0,46.12810511,,
4,4.0,,3.3,3.2025,3.234615385,18,36,54,0,21,0,39,0.0,60.0,,,,,,,,,,,,,,1.0,13.0,7.692307692,0.603797712,,
4,4.0,,3.2,3.15,2.876923077,33,47,80,0,31,0,26,0.0,57.0,,,,34.0,8.0,6.968,55.06433624,,,,,,,8.0,16.0,50.0,50.83137566,,
7,7.0,,5.0,4.8025,4.907692308,55,82,137,30,66,78,58,108.0,124.0,2.2,0.743589744,1.148148148,155.0,50.0,39.861,57.90550338,90.0,31.0,30.153,53.90690887,30.0,96.77419355,16.0,22.0,72.72727273,80.5312658,,
7,6.0,7.0,5.0,4.88,4.815384615,50,68,118,27,68,24,75,51.0,143.0,2.518518519,3.125,2.803921569,108.0,31.0,27.915,54.02785703,63.0,29.0,20.148,71.24884323,27.0,93.10344828,14.0,18.0,77.77777778,86.48173006,,
7,6.0,7.0,5.0,4.85,4.769230769,114,144,258,69,117,114,215,183.0,332.0,1.695652174,1.885964912,1.81420765,204.0,35.0,48.666,41.97049578,141.0,39.0,44.994,46.16511674,36.0,92.30769231,32.0,38.0,84.21052632,89.20681834,,
6,7.0,,5.0,4.845,4.838461538,59,71,130,49,41,29,53,78.0,94.0,0.836734694,1.827586207,1.205128205,103.0,39.0,28.656,60.6377024,85.0,28.0,25.978,56.16967645,26.0,92.85714286,12.0,22.0,54.54545455,69.93278283,,
6,6.0,,5.0,4.88,4.815384615,26,27,53,11,38,21,33,32.0,71.0,3.454545455,1.571428571,2.21875,49.0,11.0,12.092,48.16609864,18.0,6.0,4.711,,5.0,83.33333333,5.0,9.0,55.55555556,74.01799041,,
6,6.0,7.0,5.0,4.855,4.815384615,80,86,166,28,93,28,105,56.0,198.0,3.321428571,3.75,3.535714286,129.0,21.0,29.935,41.35628214,44.0,25.0,12.78,89.81604663,17.0,68.0,15.0,24.0,62.5,74.63431593,,
6,5.0,6.0,5.0,4.825,4.815384615,48,77,125,6,69,17,92,23.0,161.0,11.5,5.411764706,7.0,80.0,7.0,19.133,27.7199997,6.0,0.0,0.99,,0.0,,11.0,22.0,50.0,63.25489432,,
5,5.0,,4.7,4.5575,4.538461538,22,45,67,6,30,23,29,29.0,59.0,5.0,1.260869565,2.034482759,62.0,20.0,15.817,58.16928591,28.0,7.0,9.909,37.71557065,6.0,85.71428571,7.0,11.0,63.63636364,78.89041144,,
5,5.0,,4.45,4.4425,4.430769231,123,241,364,40,127,56,204,96.0,331.0,3.175,3.642857143,3.447916667,219.0,44.0,49.638,47.44647845,163.0,52.0,53.545,51.24836459,40.0,76.92307692,13.0,67.0,19.40298508,38.73124388,,
5,5.0,5.0,4.65,4.49,4.415384615,79,135,214,5,130,42,130,47.0,260.0,26.0,3.095238095,5.531914894,163.0,16.0,38.235,30.18262367,6.0,1.0,1.064,,1.0,100.0,12.0,38.0,31.57894737,50.88117379,,
5,5.0,,4.65,4.475,4.315384615,50,54,104,0,69,8,47,8.0,116.0,,5.875,14.5,77.0,4.0,17.23,20.5099049,,,,,,,7.0,18.0,38.88888889,54.12566538,,
5,5.0,,4.7,4.405,4.284615385,68,108,176,1,44,9,71,10.0,115.0,44.0,7.888888889,11.5,55.0,5.0,12.556,29.25412248,1.0,0.0,0.165,,0.0,,15.0,27.0,55.55555556,67.07265781,,
5,5.0,,4.55,4.4025,4.269230769,23,29,52,0,46,0,49,0.0,95.0,,,,45.0,2.0,9.508,19.15131678,,,,,,,3.0,9.0,33.33333333,56.80787797,,
5,5.0,,4.65,4.44,4.261538462,31,51,82,10,28,21,28,31.0,56.0,2.8,1.333333333,1.806451613,52.0,9.0,13.103,40.84094142,42.0,20.0,15.029,66.94159865,15.0,75.0,5.0,13.0,38.46153846,55.4352357,,
5,5.0,,4.65,4.265,4.107692308,53,87,140,19,28,30,34,49.0,62.0,1.473684211,1.133333333,1.265306122,49.0,7.0,12.92,35.40845267,37.0,21.0,10.916,88.7303323,16.0,76.19047619,7.0,24.0,29.16666667,51.08627945,,
5,5.0,,4.7,4.26,4.061538462,35,53,88,9,62,21,94,30.0,156.0,6.888888889,4.476190476,5.2,71.0,9.0,17.264,34.58539635,25.0,5.0,7.873,33.64822256,4.0,80.0,9.0,12.0,75.0,80.15331801,,
5,5.0,,4.65,4.21,3.907692308,39,44,83,15,52,22,45,37.0,97.0,3.466666667,2.045454545,2.621621622,74.0,21.0,17.739,56.03378028,37.0,14.0,11.91,60.46439118,13.0,92.85714286,5.0,14.0,35.71428571,58.8533731,,
4,5.0,,4.65,4.2475,4.061538462,22,40,62,0,19,0,31,0.0,50.0,,,,1.0,0.0,0.107,,,,,,,,2.0,10.0,20.0,34.16245093,,
5,4.0,5.0,4.0,4.19,4.092307692,65,68,133,0,71,23,77,23.0,148.0,,3.347826087,6.434782609,112.0,11.0,26.066,30.34266517,,,,,,,9.0,17.0,52.94117647,63.22765753,,
5,4.0,,4.3,4.25,3.923076923,38,44,82,1,45,26,35,27.0,80.0,45.0,1.346153846,2.962962963,71.0,16.0,17.565,48.20325704,2.0,2.0,0.33,,1.0,50.0,6.0,13.0,46.15384615,57.70032425,,
5,4.0,4.0,3.95,3.9975,3.8,135,256,391,21,140,12,170,33.0,310.0,6.666666667,14.16666667,9.393939394,169.0,36.0,39.288,48.36903095,25.0,5.0,5.599,47.47048414,1.0,20.0,10.0,55.0,18.18181818,34.34718322,,
5,4.0,4.0,4.05,3.6625,3.4,21,23,44,0,32,2,37,2.0,69.0,,18.5,34.5,45.0,3.0,9.746,24.78713123,,,,,,,3.0,7.0,42.85714286,57.63715733,,
4,4.0,4.0,4.35,4.38,4.161538462,47,59,106,0,38,0,69,0.0,107.0,,,,44.0,5.0,10.122,33.46089622,,,,,,,4.0,18.0,22.22222222,39.42692875,,
4,4.0,,4.3,4.125,4.038461538,22,36,58,0,24,3,29,3.0,53.0,,9.666666667,17.66666667,45.0,4.0,10.461,28.51104255,,,,,,,5.0,13.0,38.46153846,58.14005193,,
4,4.0,,4.05,3.9025,3.961538462,23,43,66,0,50,0,70,0.0,120.0,,,,63.0,3.0,14.837,18.62539146,,,,,,,6.0,9.0,66.66666667,68.7803185,,
4,4.0,,3.95,3.9575,3.807692308,29,57,86,0,43,0,54,0.0,97.0,,,,,,,,,,,,,,9.0,16.0,56.25,67.53766326,,
4,4.0,5.0,3.65,3.91,3.784615385,34,55,89,2,42,13,78,15.0,120.0,21.0,6.0,8.0,72.0,9.0,17.178,34.6911744,4.0,2.0,1.028,,0.0,0.0,4.0,16.0,25.0,44.16724568,,
4,4.0,,4.0,3.7575,3.692307692,33,69,102,0,24,0,48,0.0,72.0,,,,29.0,0.0,5.06,0.0,,,,,,,2.0,21.0,9.523809524,24.71634852,,
4,4.0,4.0,3.75,3.905,3.669230769,38,84,122,18,25,46,60,64.0,85.0,1.388888889,1.304347826,1.328125,93.0,34.0,22.741,63.92715297,91.0,23.0,28.989,42.40523536,21.0,91.30434783,9.0,14.0,64.28571429,66.57323893,,
4,4.0,,4.25,3.94,3.653846154,51,68,119,0,72,4,111,4.0,183.0,,27.75,45.75,125.0,5.0,30.921,15.83952287,,,,,,,5.0,20.0,25.0,42.36096653,,
4,4.0,,3.65,3.79,3.638461538,40,46,86,0,58,0,74,0.0,132.0,,,,43.0,7.0,10.112,41.03081276,,,,,,,1.0,14.0,7.142857143,20.92164292,,
4,4.0,,3.7,3.6875,3.553846154,46,90,136,0,48,7,78,7.0,126.0,,11.14285714,18.0,38.0,4.0,7.777,34.30123955,,,,,,,7.0,21.0,33.33333333,48.55382894,,
3,4.0,,4.55,4.32,4.123076923,31,40,71,0,27,0,33,0.0,60.0,,,,27.0,1.0,6.528,15.21062504,,,,,,,0.0,12.0,0.0,,,
3,4.0,,4.3,4.265,4.053846154,0,38,38,0,0,0,9,0.0,9.0,,,,,,,,,,,,,,4.0,12.0,33.33333333,49.38715677,,
3,4.0,,4.35,4.0025,3.7,13,42,55,0,7,0,27,0.0,34.0,,,,,,,,,,,,,,2.0,13.0,15.38461539,29.11250619,,
3,4.0,,3.7,3.76,3.592307692,28,44,72,0,18,0,16,0.0,34.0,,,,5.0,1.0,0.535,,,,,,,,0.0,11.0,0.0,,,
3,4.0,,3.65,3.5625,3.469230769,17,33,50,0,2,0,29,0.0,31.0,,,,,,,,,,,,,,1.0,10.0,10.0,22.00814374,,
3,4.0,,3.9,3.855,3.423076923,38,56,94,0,44,0,51,0.0,95.0,,,,25.0,3.0,4.84,,,,,,,,7.0,18.0,38.88888889,50.90074944,,
3,3.0,,3.65,3.74,3.423076923,22,58,80,0,10,0,36,0.0,46.0,,,,11.0,0.0,1.747,,,,,,,,0.0,9.0,0.0,,,
3,4.0,,3.65,3.425,3.215384615,30,47,77,0,20,0,50,0.0,70.0,,,,8.0,0.0,1.046,,,,,,,,3.0,13.0,23.07692308,46.7284722,,
4,3.0,3.0,3.2,3.38,2.815384615,27,45,72,0,31,0,49,0.0,80.0,,,,23.0,4.0,3.842,,,,,,,,1.0,11.0,9.090909091,20.61764053,,
3,3.0,,3.55,3.7875,3.692307692,0,20,20,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,0.0,10.0,0.0,,,
3,3.0,,3.55,3.635,3.530769231,4,18,22,0,1,0,20,0.0,21.0,,,,,,,,,,,,,,2.0,6.0,33.33333333,51.63817113,,
3,3.0,,3.3,3.57,3.346153846,41,47,88,0,10,0,33,0.0,43.0,,,,,,,,,,,,,,0.0,13.0,0.0,,,
3,3.0,,3.25,3.3975,3.269230769,0,28,28,0,0,0,4,0.0,4.0,,,,,,,,,,,,,,4.0,13.0,30.76923077,53.04950996,,
3,3.0,,3.3,3.52,3.253846154,24,37,61,0,26,0,39,0.0,65.0,,,,39.0,1.0,9.397,11.39147567,,,,,,,2.0,16.0,12.5,27.89884549,,
3,3.0,,3.0,3.1975,3.2,18,37,55,0,0,0,11,0.0,11.0,,,,,,,,,,,,,,0.0,8.0,0.0,,,
3,3.0,4.0,3.55,3.315,3.146153846,0,74,74,0,0,0,31,0.0,31.0,,,,,,,,,,,,,,3.0,21.0,14.28571429,29.49922226,,
3,3.0,,3.35,3.2925,3.092307692,23,59,82,0,0,0,40,0.0,40.0,,,,,,,,,,,,,,4.0,16.0,25.0,41.6360219,,
3,3.0,,3.384615385,3.357142857,3.0,0,15,15,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,
3,3.0,,3.0,3.13,3.0,0,24,24,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,
3,3.0,,3.0,3.0,3.0,0,7,7,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,
3,3.0,,3.25,3.2,2.953846154,9,54,63,0,4,0,16,0.0,20.0,,,,,,,,,,,,,,1.0,14.0,7.142857143,17.36466252,,
3,3.0,,3.2,3.14,2.946153846,12,60,72,0,0,0,25,0.0,25.0,,,,,,,,,,,,,,2.0,18.0,11.11111111,23.61859405,,
3,3.0,,3.3,3.2525,2.938461538,41,48,89,0,34,0,41,0.0,75.0,,,,8.0,0.0,0.856,,,,,,,,0.0,12.0,0.0,,,
3,3.0,,3.2,3.1025,2.861538462,28,65,93,0,45,0,60,0.0,105.0,,,,,,,,,,,,,,1.0,17.0,5.882352941,15.00273701,,
3,3.0,,2.65,2.94,2.830769231,35,70,105,0,18,0,35,0.0,53.0,,,,8.0,0.0,1.141,,,,,,,,1.0,20.0,5.0,13.18752543,,
3,3.0,,2.95,2.8725,2.7,8,33,41,0,0,0,17,0.0,17.0,,,,,,,,,,,,,,0.0,9.0,0.0,,,
3,3.0,,2.65,2.705,2.646153846,0,39,39,0,0,0,9,0.0,9.0,,,,,,,,,,,,,,0.0,11.0,0.0,,,
3,3.0,,2.8,2.73,2.446153846,0,51,51,0,0,0,5,0.0,5.0,,,,,,,,,,,,,,0.0,15.0,0.0,,,
3,3.0,,2.65,2.7175,2.307692308,0,26,26,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,0.0,10.0,0.0,,,
