conceito_atual,conceito_ctc,conceito_rec,q2_q5,itens_q2_q5,itens_q3_q4,docentes_ano_2001_2003,docentes_ano_2004_2006,docentes_ano_2001_2006,Teses_2001_2003,Diss_2001_2003,Teses_2004_2006,Diss_2004_2006,Teses_2001_2006,Diss_2001_2006,di_te_2001_2003,di_te_2004_2006,di_te_2001_2006,egressos_mestrado_97_01,egr_m_tit_dou_97_01,n_esp_dout_97_01,escore_1,egressos_dout_97_03,egressos_doc_ppg_97_03,n_esp_doc_ppg_97_03,Escore_2,doc_ies_dif,perc_doc_dif_doc_ppg,bolsistas_prod,docentes,perc_bols_doc,Escore_3,sigla_IES,id_instituicao
4,4.0,,4.0,3.895,3.838461538,38,52,90,0,22,0,28,0.0,50.0,,,,32.0,2.0,7.257,23.03843389,,,,,,,3.0,16.0,18.75,42.74808273,,
4,4.0,,4.0,3.825,3.730769231,31,68,99,0,38,0,57,0.0,95.0,,,,38.0,2.0,8.019,21.54034224,,,,,,,4.0,19.0,21.05263158,44.69507787,,
3,4.0,,4.55,4.46,4.411538462,58,60,118,0,79,0,92,0.0,171.0,,,,95.0,17.0,23.534,42.07993852,,,,,,,2.0,18.0,11.11111111,34.36416479,,
3,4.0,,4.0,4.185,4.130769231,22,43,65,0,23,0,49,0.0,72.0,,,,,,,,,,,,,,0.0,14.0,0.0,,,
3,4.0,,4.0,4.075,4.115384615,39,52,91,0,66,0,72,0.0,138.0,,,,57.0,6.0,8.964,40.21750075,,,,,,,2.0,16.0,12.5,30.78949882,,
3,4.0,,4.0,4.075,4.115384615,37,47,84,0,25,0,47,0.0,72.0,,,,31.0,5.0,5.604,47.62674896,,,,,,,4.0,16.0,25.0,46.05759687,,
3,4.0,,4.0,4.0,4.0,16,39,55,0,1,0,49,0.0,50.0,,,,,,,,,,,,,,2.0,11.0,18.18181818,38.46588536,,
3,4.0,,4.0,3.875,3.892307692,41,57,98,0,11,0,40,0.0,51.0,,,,,,,,,,,,,,5.0,16.0,31.25,52.01406397,,
3,4.0,,4.0,3.78,3.584615385,30,35,65,0,11,0,17,0.0,28.0,,,,,,,,,,,,,,4.0,10.0,40.0,59.25078457,,
3,3.0,4.0,3.55,3.52,3.392307692,45,74,119,0,49,0,81,0.0,130.0,,,,48.0,2.0,9.997,18.48576435,,,,,,,2.0,21.0,9.523809524,25.9818319,,
3,3.0,4.0,3.65,3.525,3.346153846,34,50,84,0,15,0,40,0.0,55.0,,,,,,,,,,,,,,3.0,16.0,18.75,39.15485976,,
